datenum_noUV,oxygen_noUV_umol_kg
02-Nov-2017 07:15:00,262.191014116036
02-Nov-2017 07:30:00,262.060490993523
02-Nov-2017 07:45:00,261.88346634132
02-Nov-2017 08:00:00,261.743170642604
02-Nov-2017 08:15:00,261.630134641805
02-Nov-2017 08:30:00,261.547423421232
02-Nov-2017 08:45:00,261.467646639139
02-Nov-2017 09:00:00,261.367024430471
02-Nov-2017 09:15:00,261.183888233529
02-Nov-2017 09:30:00,260.839469608842
02-Nov-2017 09:45:00,260.497556703555
02-Nov-2017 10:00:00,260.278012990026
02-Nov-2017 10:15:00,260.189463307076
02-Nov-2017 10:30:00,260.101494324174
02-Nov-2017 10:45:00,260.106469274223
02-Nov-2017 11:00:00,260.260313640337
02-Nov-2017 11:15:00,260.356541638163
02-Nov-2017 11:30:00,260.466920182664
02-Nov-2017 11:45:00,260.630269936729
02-Nov-2017 12:00:00,260.785953930057
02-Nov-2017 12:15:00,260.938784223759
02-Nov-2017 12:30:00,261.074180840993
02-Nov-2017 12:45:00,261.152557125242
02-Nov-2017 13:00:00,261.234419408042
02-Nov-2017 13:15:00,261.358493454887
02-Nov-2017 13:30:00,261.485059186959
02-Nov-2017 13:45:00,261.686789295854
02-Nov-2017 14:00:00,262.15522458575
02-Nov-2017 14:15:00,262.482190841727
02-Nov-2017 14:30:00,262.762905591592
02-Nov-2017 14:45:00,263.039904284107
02-Nov-2017 15:00:00,263.193550703644
02-Nov-2017 15:15:00,263.71077943578
02-Nov-2017 15:30:00,263.943358095039
02-Nov-2017 15:45:00,264.342835306383
02-Nov-2017 16:00:00,265.283663701607
02-Nov-2017 16:15:00,265.598066176871
02-Nov-2017 16:30:00,266.677736780944
02-Nov-2017 16:45:00,267.495427441512
02-Nov-2017 17:00:00,268.816815629131
02-Nov-2017 17:15:00,270.069171296461
02-Nov-2017 17:30:00,271.256332899393
02-Nov-2017 17:45:00,272.359959422877
02-Nov-2017 18:00:00,273.273100484382
02-Nov-2017 18:15:00,274.15910861744
02-Nov-2017 18:30:00,274.722677571164
02-Nov-2017 18:45:00,275.235246122687
02-Nov-2017 19:00:00,275.505948192403
02-Nov-2017 19:15:00,275.697478112497
02-Nov-2017 19:30:00,275.924801727275
02-Nov-2017 19:45:00,276.216510228186
02-Nov-2017 20:00:00,276.485116161793
02-Nov-2017 20:15:00,276.810875314431
02-Nov-2017 20:30:00,277.062627600865
02-Nov-2017 20:45:00,277.352481938107
02-Nov-2017 21:00:00,277.604974300922
02-Nov-2017 21:15:00,277.763645808585
02-Nov-2017 21:30:00,277.616898203784
02-Nov-2017 21:45:00,277.65359695288
02-Nov-2017 22:00:00,277.646630823772
02-Nov-2017 22:15:00,277.687613527399
02-Nov-2017 22:30:00,277.767591736549
02-Nov-2017 22:45:00,277.426717030772
02-Nov-2017 23:00:00,277.3712938866
02-Nov-2017 23:15:00,277.100272945446
02-Nov-2017 23:30:00,276.265747616685
02-Nov-2017 23:45:00,276.099201185426
03-Nov-2017 00:00:00,275.194462714781
03-Nov-2017 00:15:00,274.580811542635
03-Nov-2017 00:30:00,273.696167438914
03-Nov-2017 00:45:00,272.937119983343
03-Nov-2017 01:00:00,272.126129258079
03-Nov-2017 01:15:00,271.379900542026
03-Nov-2017 01:30:00,270.922412549665
03-Nov-2017 01:45:00,270.228940584709
03-Nov-2017 02:00:00,269.856704190568
03-Nov-2017 02:15:00,269.477123199537
03-Nov-2017 02:30:00,269.389451612726
03-Nov-2017 02:45:00,269.320198056964
03-Nov-2017 03:00:00,269.278998477432
03-Nov-2017 03:15:00,269.203660590839
03-Nov-2017 03:30:00,269.177369588899
03-Nov-2017 03:45:00,269.135964779134
03-Nov-2017 04:00:00,269.195241970658
03-Nov-2017 04:15:00,269.244357048151
03-Nov-2017 04:30:00,269.31055087676
03-Nov-2017 04:45:00,269.438571670954
03-Nov-2017 05:00:00,269.675658059328
03-Nov-2017 05:15:00,269.977693631268
03-Nov-2017 05:30:00,270.271067707001
03-Nov-2017 05:45:00,270.565602867476
03-Nov-2017 06:00:00,270.902382163428
03-Nov-2017 06:15:00,271.299553127667
03-Nov-2017 06:30:00,271.720579369618
03-Nov-2017 06:45:00,272.186129728918
03-Nov-2017 07:00:00,272.663280625989
03-Nov-2017 07:15:00,273.09892055609
03-Nov-2017 07:30:00,273.532113614513
03-Nov-2017 07:45:00,274.050970693938
03-Nov-2017 08:00:00,274.504179405432
03-Nov-2017 08:15:00,274.894579250626
03-Nov-2017 08:30:00,275.320315824965
03-Nov-2017 08:45:00,275.698725905675
03-Nov-2017 09:00:00,275.99788816167
03-Nov-2017 09:15:00,276.505535821389
03-Nov-2017 09:30:00,276.906791339872
03-Nov-2017 09:45:00,277.474700612208
03-Nov-2017 10:00:00,277.995521748555
03-Nov-2017 10:15:00,278.542137593861
03-Nov-2017 10:30:00,279.011550265829
03-Nov-2017 10:45:00,279.445746877353
03-Nov-2017 11:00:00,279.845781464374
03-Nov-2017 11:15:00,280.237824124443
03-Nov-2017 11:30:00,280.58354014522
03-Nov-2017 11:45:00,280.863889657383
03-Nov-2017 12:00:00,281.14731481859
03-Nov-2017 12:15:00,281.42052625551
03-Nov-2017 12:30:00,281.670931001176
03-Nov-2017 12:45:00,281.896571955479
03-Nov-2017 13:00:00,282.15698021758
03-Nov-2017 13:15:00,282.434190649116
03-Nov-2017 13:30:00,282.725448154991
03-Nov-2017 13:45:00,283.02555106621
03-Nov-2017 14:00:00,283.333104160428
03-Nov-2017 14:15:00,283.58255618081
03-Nov-2017 14:30:00,283.74928266339
03-Nov-2017 14:45:00,283.908197973263
03-Nov-2017 15:00:00,284.095729052538
03-Nov-2017 15:15:00,284.273879246161
03-Nov-2017 15:30:00,284.472017978263
03-Nov-2017 15:45:00,284.679889021737
03-Nov-2017 16:00:00,284.878699607954
03-Nov-2017 16:15:00,285.095589921529
03-Nov-2017 16:30:00,285.405264286706
03-Nov-2017 16:45:00,285.760733222835
03-Nov-2017 17:00:00,286.043197416818
03-Nov-2017 17:15:00,286.350262810856
03-Nov-2017 17:30:00,286.609122851124
03-Nov-2017 17:45:00,286.939239871643
03-Nov-2017 18:00:00,287.276268611561
03-Nov-2017 18:15:00,287.61685573408
03-Nov-2017 18:30:00,288.024195534137
03-Nov-2017 18:45:00,288.470260116924
03-Nov-2017 19:00:00,288.895314583033
03-Nov-2017 19:15:00,289.469250234675
03-Nov-2017 19:30:00,289.971216046665
03-Nov-2017 19:45:00,290.416863077877
03-Nov-2017 20:00:00,290.908197690863
03-Nov-2017 20:15:00,291.571581851696
03-Nov-2017 20:30:00,292.042856998828
03-Nov-2017 20:45:00,292.51219200489
03-Nov-2017 21:00:00,293.027811811838
03-Nov-2017 21:15:00,293.462182124385
03-Nov-2017 21:30:00,294.000191198465
03-Nov-2017 21:45:00,294.600487261962
03-Nov-2017 22:00:00,295.249473561399
03-Nov-2017 22:15:00,295.76386968278
03-Nov-2017 22:30:00,296.296598489082
03-Nov-2017 22:45:00,296.678550001068
03-Nov-2017 23:00:00,296.98398399546
03-Nov-2017 23:15:00,297.304020055894
03-Nov-2017 23:30:00,297.654052732316
03-Nov-2017 23:45:00,298.080952488101
04-Nov-2017 00:00:00,298.238840451765
04-Nov-2017 00:15:00,298.374236948264
04-Nov-2017 00:30:00,298.435378762102
04-Nov-2017 00:45:00,298.428750508615
04-Nov-2017 01:00:00,298.421784870628
04-Nov-2017 01:15:00,298.344486411889
04-Nov-2017 01:30:00,298.275043412758
04-Nov-2017 01:45:00,298.192532413957
04-Nov-2017 02:00:00,298.063588936025
04-Nov-2017 02:15:00,297.915664035701
04-Nov-2017 02:30:00,297.813162230041
04-Nov-2017 02:45:00,297.571076236524
04-Nov-2017 03:00:00,297.414398523058
04-Nov-2017 03:15:00,297.297868828434
04-Nov-2017 03:30:00,297.114648313753
04-Nov-2017 03:45:00,296.723677053967
04-Nov-2017 04:00:00,296.49116015698
04-Nov-2017 04:15:00,296.260541279841
04-Nov-2017 04:30:00,295.971507728664
04-Nov-2017 04:45:00,295.742292227646
04-Nov-2017 05:00:00,295.411313587609
04-Nov-2017 05:15:00,295.055426050684
04-Nov-2017 05:30:00,294.71972533092
04-Nov-2017 05:45:00,294.528000059016
04-Nov-2017 06:00:00,294.285694732201
04-Nov-2017 06:15:00,294.169303760315
04-Nov-2017 06:30:00,294.101927839809
04-Nov-2017 06:45:00,293.95634851959
04-Nov-2017 07:00:00,293.764885072576
04-Nov-2017 07:15:00,293.453499928277
04-Nov-2017 07:30:00,293.308352353704
04-Nov-2017 07:45:00,293.105536795939
04-Nov-2017 08:00:00,293.010381224182
04-Nov-2017 08:15:00,292.915391283709
04-Nov-2017 08:30:00,292.838399483282
04-Nov-2017 08:45:00,292.754463591931
04-Nov-2017 09:00:00,292.66046359776
04-Nov-2017 09:15:00,292.577715517115
04-Nov-2017 09:30:00,292.485713038007
04-Nov-2017 09:45:00,292.400294915989
04-Nov-2017 10:00:00,292.307878882056
04-Nov-2017 10:15:00,292.211251698898
04-Nov-2017 10:30:00,292.102091750275
04-Nov-2017 10:45:00,291.992661376646
04-Nov-2017 11:00:00,291.879628474833
04-Nov-2017 11:15:00,291.751427658052
04-Nov-2017 11:30:00,291.628218179812
04-Nov-2017 11:45:00,291.511741074483
04-Nov-2017 12:00:00,291.420726095117
04-Nov-2017 12:15:00,291.341669769662
04-Nov-2017 12:30:00,291.266881063489
04-Nov-2017 12:45:00,291.186187175963
04-Nov-2017 13:00:00,291.138743479267
04-Nov-2017 13:15:00,291.087862939892
04-Nov-2017 13:30:00,291.029937683397
04-Nov-2017 13:45:00,291.023337570755
04-Nov-2017 14:00:00,291.065407600769
04-Nov-2017 14:15:00,291.155845412366
04-Nov-2017 14:30:00,291.19882432162
04-Nov-2017 14:45:00,291.183975843388
04-Nov-2017 15:00:00,291.371151966223
04-Nov-2017 15:15:00,291.642175877402
04-Nov-2017 15:30:00,291.960323515179
04-Nov-2017 15:45:00,292.258961046219
04-Nov-2017 16:00:00,292.564571763223
04-Nov-2017 16:15:00,292.794363705951
04-Nov-2017 16:30:00,293.026812244575
04-Nov-2017 16:45:00,293.25955126889
04-Nov-2017 17:00:00,293.609610255234
04-Nov-2017 17:15:00,293.948308164858
04-Nov-2017 17:30:00,294.329630033596
04-Nov-2017 17:45:00,294.739616571857
04-Nov-2017 18:00:00,295.180855198209
04-Nov-2017 18:15:00,295.645840449522
04-Nov-2017 18:30:00,296.080609934652
04-Nov-2017 18:45:00,296.52746487041
04-Nov-2017 19:00:00,296.940512623243
04-Nov-2017 19:15:00,297.360537378573
04-Nov-2017 19:30:00,297.739993205785
04-Nov-2017 19:45:00,298.107044369358
04-Nov-2017 20:00:00,298.468276117056
04-Nov-2017 20:15:00,298.838724433947
04-Nov-2017 20:30:00,299.172030229963
04-Nov-2017 20:45:00,299.49069600012
04-Nov-2017 21:00:00,299.771266310872
04-Nov-2017 21:15:00,299.991697423501
04-Nov-2017 21:30:00,300.14903858758
04-Nov-2017 21:45:00,300.225091362266
04-Nov-2017 22:00:00,300.293266275122
04-Nov-2017 22:15:00,300.378651030196
04-Nov-2017 22:30:00,300.218452886888
04-Nov-2017 22:45:00,299.712762451565
04-Nov-2017 23:00:00,299.208734790149
04-Nov-2017 23:15:00,298.704152758633
04-Nov-2017 23:30:00,298.082140627228
04-Nov-2017 23:45:00,297.370489460629
05-Nov-2017 00:00:00,296.641907291332
05-Nov-2017 00:15:00,295.799293367355
05-Nov-2017 00:30:00,294.824980890383
05-Nov-2017 00:45:00,293.824558718386
05-Nov-2017 01:00:00,292.777078544035
05-Nov-2017 01:15:00,291.711911009654
05-Nov-2017 01:30:00,290.593826673205
05-Nov-2017 01:45:00,289.424414583854
05-Nov-2017 02:00:00,288.234752882408
05-Nov-2017 02:15:00,287.006482770925
05-Nov-2017 02:30:00,285.780728444364
05-Nov-2017 02:45:00,284.484212450958
05-Nov-2017 03:00:00,283.216594633133
05-Nov-2017 03:15:00,281.938702555768
05-Nov-2017 03:30:00,280.624895953264
05-Nov-2017 03:45:00,279.284581092837
05-Nov-2017 04:00:00,277.938368746487
05-Nov-2017 04:15:00,276.6297583054
05-Nov-2017 04:30:00,275.37015405528
05-Nov-2017 04:45:00,274.129341372835
05-Nov-2017 05:00:00,272.897868308424
05-Nov-2017 05:15:00,271.6895525972
05-Nov-2017 05:30:00,270.53903961667
05-Nov-2017 05:45:00,269.423157587981
05-Nov-2017 06:00:00,268.353413683136
05-Nov-2017 06:15:00,267.557987719394
05-Nov-2017 06:30:00,266.724968681667
05-Nov-2017 06:45:00,265.925580011158
05-Nov-2017 07:00:00,265.260681101193
05-Nov-2017 07:15:00,264.77566854314
05-Nov-2017 07:30:00,264.314129367561
05-Nov-2017 07:45:00,263.985382073801
05-Nov-2017 08:00:00,263.679860324485
05-Nov-2017 08:15:00,263.415520596283
05-Nov-2017 08:30:00,263.168602721106
05-Nov-2017 08:45:00,262.918084481592
05-Nov-2017 09:00:00,262.700216691933
05-Nov-2017 09:15:00,262.513880406434
05-Nov-2017 09:30:00,262.368968896042
05-Nov-2017 09:45:00,262.268954680608
05-Nov-2017 10:00:00,262.195569796628
05-Nov-2017 10:15:00,262.173427919726
05-Nov-2017 10:30:00,262.134650981656
05-Nov-2017 10:45:00,262.115246074448
05-Nov-2017 11:00:00,262.148672481253
05-Nov-2017 11:15:00,262.200954390813
05-Nov-2017 11:30:00,262.271809265069
05-Nov-2017 11:45:00,262.326928748091
05-Nov-2017 12:00:00,262.400158269484
05-Nov-2017 12:15:00,262.480405541574
05-Nov-2017 12:30:00,262.601777875263
05-Nov-2017 12:45:00,262.73919276045
05-Nov-2017 13:00:00,262.866854361677
05-Nov-2017 13:15:00,262.99901111772
05-Nov-2017 13:30:00,263.123612535433
05-Nov-2017 13:45:00,263.215888071368
05-Nov-2017 14:00:00,263.302127496955
