time,surface_partial_pressure_of_carbon_dioxide_in_sea_water,pmel_nh10_pco2_seawater,ooi_pmel_pco2_difference
2015-09-02 09:17:00,330.8526400197,340.7,-9.847359980299984
2015-09-02 12:17:00,355.6549880747,368.9,-13.245011925299991
2015-09-02 15:17:00,342.8678071113,358.9,-16.032192888699967
2015-09-02 18:17:00,317.6856272446,336.5,-18.814372755399972
2015-09-02 21:17:00,321.4635489487,341.3,-19.836451051300003
2015-09-03 00:17:00,337.6934746553,348.1,-10.406525344700015
2015-09-03 03:17:00,332.5312217288,347.9,-15.368778271199972
2015-09-03 06:17:00,320.5264892946,334.9,-14.373510705399951
2015-09-03 09:17:00,315.8494702141,329.7,-13.850529785899994
2015-09-03 12:17:00,338.8943992105,355.5,-16.605600789499988
2015-09-03 15:17:00,336.1298626532,348.3,-12.170137346800004
2015-09-03 18:17:00,334.1797296927,347.3,-13.120270307300018
2015-09-03 21:17:00,331.9382830277,382.7,-50.76171697230001
2015-09-04 00:17:00,324.1374770403,348.0,-23.862522959700016
2015-09-04 03:17:00,305.6533706171,323.1,-17.446629382900028
2015-09-04 06:17:00,312.2311799216,335.0,-22.768820078399983
2015-09-04 09:17:00,324.9288113058,345.5,-20.571188694199975
2015-09-04 12:17:00,330.6300614086,351.2,-20.56993859139999
2015-09-04 15:17:00,323.8164871015,343.2,-19.383512898499987
2015-09-04 18:17:00,323.2120754174,348.4,-25.187924582599976
2015-09-04 21:17:00,343.0868355402,359.6,-16.51316445980001
2015-09-05 00:17:00,323.5934869918,345.5,-21.906513008200022
2015-09-05 03:17:00,313.2941099871,331.2,-17.905890012899988
2015-09-05 06:17:00,327.7518264934,337.4,-9.64817350659996
2015-09-05 09:17:00,325.9876771664,341.4,-15.412322833600001
2015-09-05 12:17:00,322.5867327357,332.2,-9.613267264299964
2015-09-05 15:17:00,312.6008135263,330.1,-17.499186473700036
2015-09-05 18:17:00,317.7253200647,335.3,-17.574679935300026
2015-09-05 21:17:00,348.2375812156,363.8,-15.562418784399995
2015-09-06 00:17:00,309.4715642734,328.0,-18.52843572659998
2015-09-06 03:17:00,304.67100159,319.9,-15.228998409999974
2015-09-06 06:17:00,300.7104579598,319.0,-18.28954204019999
2015-09-06 09:17:00,341.996031746,357.7,-15.70396825399996
2015-09-06 12:17:00,342.1530245086,354.5,-12.346975491399974
2015-09-06 15:17:00,319.2112358472,338.6,-19.388764152800036
2015-09-06 18:17:00,326.8440901116,350.3,-23.455909888400015
2015-09-06 21:17:00,338.5372460729,360.3,-21.762753927099993
2015-09-07 00:17:00,313.2231269019,332.8,-19.57687309810001
