,time,chlora,depth,chlora_dark,chlora_corr
2327,2018-06-26 21:27:33.455514624,0.3689,67.01296522566496,0.3332,0.0995083018852158
2326,2018-06-26 21:27:32.326831104,0.3927,67.05222999810832,0.357,0.10661603773415979
2325,2018-06-26 21:27:31.198151680,0.357,67.08917796600336,0.3213,0.0959544339607438
2324,2018-06-26 21:27:30.069435392,0.3094,67.13336861084659,0.2737,0.08173896226285583
2323,2018-06-26 21:27:28.940734464,0.3451,67.18645149752669,0.3094,0.09240056603627182
2322,2018-06-26 21:27:27.812023296,0.3213,67.24553070070554,0.28559999999999997,0.08529283018732782
2321,2018-06-26 21:27:26.683309056,0.3451,67.3070930240048,0.3094,0.09240056603627182
2320,2018-06-26 21:27:25.554624000,0.3213,67.36267853074223,0.28559999999999997,0.08529283018732782
2319,2018-06-26 21:27:24.425880576,0.3808,67.41340380271002,0.3451,0.1030621698096878
2318,2018-06-26 21:27:23.297197568,0.357,67.44880678620707,0.3213,0.0959544339607438
2317,2018-06-26 21:27:22.168455168,0.3213,67.47914915196928,0.28559999999999997,0.08529283018732782
2316,2018-06-26 21:27:21.039790080,0.3689,67.50754732927037,0.3332,0.0995083018852158
2315,2018-06-26 21:27:19.911071744,0.3213,67.54189899895671,0.28559999999999997,0.08529283018732782
2314,2018-06-26 21:27:18.782331904,0.3451,67.58763013742683,0.3094,0.09240056603627182
2313,2018-06-26 21:27:17.653639680,0.3332,67.64703214078592,0.2975,0.08884669811179982
2312,2018-06-26 21:27:16.524907008,0.3332,67.71629981766317,0.2975,0.08884669811179982
2311,2018-06-26 21:27:15.396206080,0.4046,67.79232516393117,0.3689,0.11016990565863179
2310,2018-06-26 21:27:14.267496960,0.3094,67.86170574531843,0.2737,0.08173896226285583
2309,2018-06-26 21:27:13.138805760,0.3213,67.9216409462095,0.28559999999999997,0.08529283018732782
2308,2018-06-26 21:27:12.010066944,0.3332,67.97354019070733,0.2975,0.08884669811179982
2307,2018-06-26 21:27:10.881651712,0.3094,68.01672492201047,0.2737,0.08173896226285583
2306,2018-06-26 21:27:09.753206784,0.3213,68.0586780294303,0.28559999999999997,0.08529283018732782
2305,2018-06-26 21:27:08.624700416,0.3094,68.10319112186366,0.2737,0.08173896226285583
2304,2018-06-26 21:27:07.496284160,0.3451,68.15166987675833,0.3094,0.09240056603627182
2303,2018-06-26 21:27:06.367816192,0.3451,68.19947458803568,0.3094,0.09240056603627182
2302,2018-06-26 21:27:05.239311872,0.3332,68.24121846891478,0.2975,0.08884669811179982
2301,2018-06-26 21:27:04.110838784,0.3689,68.2732815215029,0.3332,0.0995083018852158
2300,2018-06-26 21:27:02.982359552,0.3808,68.2956047842315,0.3451,0.1030621698096878
2299,2018-06-26 21:27:01.854141952,0.3332,68.31358241786216,0.2975,0.08884669811179982
2298,2018-06-26 21:27:00.725445632,0.3094,68.33826150080444,0.2737,0.08173896226285583
2297,2018-06-26 21:26:59.596698624,0.3094,68.38172986238904,0.2737,0.08173896226285583
2296,2018-06-26 21:26:58.468004864,0.3689,68.44440736492604,0.3332,0.0995083018852158
2295,2018-06-26 21:26:57.339288576,0.3094,68.52957887974141,0.2737,0.08173896226285583
2294,2018-06-26 21:26:56.210583552,0.3213,68.62292208525454,0.28559999999999997,0.08529283018732782
2293,2018-06-26 21:26:55.081864704,0.3094,68.70673447097933,0.2737,0.08173896226285583
2292,2018-06-26 21:26:53.953130496,0.3808,68.77622242808481,0.3451,0.1030621698096878
2291,2018-06-26 21:26:52.824472576,0.3213,68.82839600081392,0.28559999999999997,0.08529283018732782
2290,2018-06-26 21:26:51.695714304,0.3213,68.86653202881266,0.28559999999999997,0.08529283018732782
2289,2018-06-26 21:26:50.566967296,0.3213,68.90038639095289,0.28559999999999997,0.08529283018732782
2288,2018-06-26 21:26:49.438252544,0.2975,68.93080721288162,0.2618,0.07818509433838383
2287,2018-06-26 21:26:48.309558272,0.2856,68.9631532301213,0.2499,0.07463122641391186
2286,2018-06-26 21:26:47.180843520,0.2975,68.99577395060648,0.2618,0.07818509433838383
2285,2018-06-26 21:26:46.052178432,0.2737,69.02814322600204,0.238,0.07107735848943986
2284,2018-06-26 21:26:44.923488256,0.2975,69.06024362981094,0.2618,0.07818509433838383
2283,2018-06-26 21:26:43.794821120,0.2975,69.09703015393914,0.2618,0.07818509433838383
2282,2018-06-26 21:26:42.666078208,0.2975,69.13943659179384,0.2618,0.07818509433838383
2281,2018-06-26 21:26:41.537335808,0.3332,69.19041107899982,0.2975,0.08884669811179982
2280,2018-06-26 21:26:40.408604160,0.2975,69.25305681152103,0.2618,0.07818509433838383
